number,Chinese entity name,entity binomial scientific name,Chinese condition,English condition,Chinese relation,English relation
992,黄瓜根结线虫病,Meloidogyne incognita,盐分低,Low salt,适宜发生条件,ConditionIs
993,黄瓜炭疽病,Colletotrichum orbiculare,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
994,黄瓜炭疽病,Colletotrichum orbiculare,管理粗放,Extensive management,适宜发生条件,ConditionIs
995,黄瓜炭疽病,Colletotrichum orbiculare,偏施氮肥,Partial nitrogen fertilizer,适宜发生条件,ConditionIs
996,黄瓜灰霉病,Botrytis cinerea,高湿,High humidity,适宜发生条件,ConditionIs
997,黄瓜灰霉病,Botrytis cinerea,相对湿度在90%左右,Relative humidity is around 90%,适宜发生条件,ConditionIs
998,黄瓜根腐病,Fusarium solani,高温,high temperature,适宜发生条件,ConditionIs
999,黄瓜根腐病,Fusarium solani,高湿,High humidity,适宜发生条件,ConditionIs
1000,黄瓜细菌性枯萎病,Cucumber Bacterial Wilt,低温高湿,Low temperature and high humidity,适宜发生条件,ConditionIs
1001,黄瓜细菌性枯萎病,Erwinia tracheiphila,通风换气不良,Poor ventilation,适宜发生条件,ConditionIs
1002,黄瓜细菌性枯萎病,Erwinia tracheiphila,相对湿度在85%左右,Relative humidity is around 85%,适宜发生条件,ConditionIs
1003,黄瓜病毒病,CMV (Cucumber Mosaic Virus) ,日照强,Strong sunshine,适宜发生条件,ConditionIs
1004,黄瓜病毒病,CMV (Cucumber Mosaic Virus) ,干旱,drought,适宜发生条件,ConditionIs
1005,黄瓜病毒病,CMV (Cucumber Mosaic Virus) ,缺水,Lack of water,适宜发生条件,ConditionIs
1006,黄瓜病毒病,CMV (Cucumber Mosaic Virus) ,缺肥,Lack of fertilizer,适宜发生条件,ConditionIs
1007,黄瓜斑点病,Spot disease of cucumber,温暖多湿,Warm and humid,适宜发生条件,ConditionIs
1008,黄瓜花腐病,Flower rot of cucumber,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1009,黄瓜花腐病,Flower rot of cucumber,高湿,High humidity,适宜发生条件,ConditionIs
1010,黄瓜花腐病,Flower rot of cucumber,日照不足,Insufficient sunlight,适宜发生条件,ConditionIs
1011,黄瓜花腐病,Flower rot of cucumber,雨后积水,Water after rain,适宜发生条件,ConditionIs
1012,黄瓜软腐病,Erwinia carotovora subsp. carotovora,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1013,黄瓜叶烧病,Leaf scorch of cucumber,相对湿度高于85%,Relative humidity above 85%,适宜发生条件,ConditionIs
1014,黄瓜缺素症,Nutrient deficiency of cucumber,地温低,Low ground temperature,适宜发生条件,ConditionIs
1015,黄瓜缺素症,Nutrient deficiency of cucumber,土壤干旱,Soil drought,适宜发生条件,ConditionIs
1016,黄瓜缺素症,Nutrient deficiency of cucumber,土壤多氮或多钾,Soil high in nitrogen or potassium,适宜发生条件,ConditionIs
1017,黄瓜缺素症,Nutrient deficiency of cucumber,土壤酸性过重,Soil is too acidic,适宜发生条件,ConditionIs
1018,黄瓜花打顶,Flower topping of cucumber,高温干旱,High temperature and drought,适宜发生条件,ConditionIs
1019,黄瓜花打顶,Flower topping of cucumber,土壤缺水,Soil lack of water,适宜发生条件,ConditionIs
1020,西葫芦黑星病,Cladosporium cucumerinum,右，相对湿度,"Right, relative humidity",适宜发生条件,ConditionIs
1021,西葫芦黑星病,Cladosporium cucumerinum,植株郁闭,Plant closure,适宜发生条件,ConditionIs
1022,西葫芦黑星病,Cladosporium cucumerinum,多湿,Humidity,适宜发生条件,ConditionIs
1023,西葫芦白粉病,Sphaerotheca fuliginea,雨后干燥,Dry after rain,适宜发生条件,ConditionIs
1024,西葫芦白粉病,Sphaerotheca fuliginea,高温干旱,High temperature and drought,适宜发生条件,ConditionIs
1025,西葫芦炭疽病,Colletotrichum orbiculare,空气湿度大,High humidity,适宜发生条件,ConditionIs
1026,西葫芦褐斑病,Brown spot of zucchini,高温,high temperature,适宜发生条件,ConditionIs
1027,西葫芦褐斑病,Brown spot of zucchini,高湿,High humidity,适宜发生条件,ConditionIs
1028,蕹菜炭疽病,Colletotrichum sp.,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
1029,蕹菜细菌性叶枯病,Xanthomonas campestris pv. oryzicola,雨量大,Heavy rainfall,适宜发生条件,ConditionIs
1030,茴香菌核病,Sclerotinia sclerotiorum,植地低洼,Low-lying plantation,适宜发生条件,ConditionIs
1031,茴香霜霉病,Peronospora sp.,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1032,茴香霜霉病,Peronospora sp.,棚内高湿,High humidity in the shed,适宜发生条件,ConditionIs
1033,茴香枯萎病,Fusarium oxysporum f. sp. Foeniculi,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
1034,茴香猝倒病,Pythium sp.,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1035,茴香猝倒病,Pythium sp.,积水地,Waterlogged Land,适宜发生条件,ConditionIs
1036,茴香猝倒病,Pythium sp.,湿气滞留,Moisture Retention,适宜发生条件,ConditionIs
1037,茴香白粉病,Powdery mildew of fennel,多露潮湿,Lots of moisture,适宜发生条件,ConditionIs
1038,茴香灰斑病,Gray spot of fennel,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1039,茴香灰斑病,Gray spot of fennel,通风透光差,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1040,茴香细菌性疫病,Bacterial blight of fennel,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1041,茴香细菌性疫病,Bacterial blight of fennel,高温,high temperature,适宜发生条件,ConditionIs
1042,茴香细菌性疫病,Bacterial blight of fennel,高湿,High humidity,适宜发生条件,ConditionIs
1043,茼蒿炭疽病,Colletotrichum sp.,低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
1044,茼蒿霜霉病,Peronospora sp.,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1045,茼蒿霜霉病,Peronospora sp.,灌水过多,Too much water,适宜发生条件,ConditionIs
1046,茼蒿霜霉病,Peronospora sp.,排水不良,Poor drainage,适宜发生条件,ConditionIs
1047,茼蒿霜霉病,Peronospora sp.,田间湿度过大,Excessive humidity in the field,适宜发生条件,ConditionIs
1048,茼蒿叶斑病,Leaf spot of garland chrysanthemum,温暖多湿,Warm and humid,适宜发生条件,ConditionIs
1049,茼蒿叶斑病,Leaf spot of garland chrysanthemum,排水不良,Poor drainage,适宜发生条件,ConditionIs
1050,茼蒿叶斑病,Leaf spot of garland chrysanthemum,种植过密,Too dense planting,适宜发生条件,ConditionIs
1051,茼蒿叶斑病,Leaf spot of garland chrysanthemum,浇水过多,Overwatering,适宜发生条件,ConditionIs
1052,茼蒿菌核病,Sclerotinia sclerotiorum,相对湿度高于85%,Relative humidity above 85%,适宜发生条件,ConditionIs
1053,菜粉蝶,Pieris rapae,相对湿度76%左右,Relative humidity around 76%,适宜发生条件,ConditionIs
1054,香芹斑枯病,Septoria petroselini,浇水多,Water more,适宜发生条件,ConditionIs
1055,香芹斑枯病,Septoria petroselini,排水不良,Poor drainage,适宜发生条件,ConditionIs
1056,香芹斑枯病,Septoria petroselini,田间积水,Waterlogging in the fields,适宜发生条件,ConditionIs
1057,香芹斑枯病,Septoria petroselini,土地贫瘠,Barren land,适宜发生条件,ConditionIs
1058,香芹叶斑病,Leaf spot of parsley,温暖高湿,Warm and humid,适宜发生条件,ConditionIs
1059,香芹根腐病,Fusarium solani,排水不良,Poor drainage,适宜发生条件,ConditionIs
1060,香芹根腐病,Fusarium solani,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1061,香芹根腐病,Fusarium solani,水肥管理不当,Improper water and fertilizer management,适宜发生条件,ConditionIs
1062,芫荽灰霉病,Botrytis cinerea,浇水过多,Overwatering,适宜发生条件,ConditionIs
1063,芫荽灰霉病,Botrytis cinerea,施用氮肥过量,Excessive nitrogen fertilizer application,适宜发生条件,ConditionIs
1064,芫荽灰霉病,Botrytis cinerea,环境荫蔽,Environmental shading,适宜发生条件,ConditionIs
1065,芫荽灰霉病,Botrytis cinerea,田间通风不良,Poor field ventilation,适宜发生条件,ConditionIs
1066,芫荽细菌性疫病,Xanthomonas campestris pv. coriandri,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1067,芫荽细菌性疫病,Xanthomonas campestris pv. coriandri,高温,high temperature,适宜发生条件,ConditionIs
1068,芫荽细菌性疫病,Xanthomonas campestris pv. coriandri,高湿,High humidity,适宜发生条件,ConditionIs
1069,香芹根结线虫病,Meloidogyne sp.,地势高燥,High and dry terrain,适宜发生条件,ConditionIs
1070,香芹根结线虫病,Meloidogyne sp.,土质中性沙质,Soil: neutral sandy,适宜发生条件,ConditionIs
1071,芫荽叶斑病,Leaf spot of coriander,温暖高湿,Warm and humid,适宜发生条件,ConditionIs
1072,芫荽株腐病,Stem rot of coriander,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
1073,芫荽株腐病,Stem rot of coriander,低温高湿,Low temperature and high humidity,适宜发生条件,ConditionIs
1074,芫荽株腐病,Stem rot of coriander,苗床低洼,Low-lying seedbed,适宜发生条件,ConditionIs
1075,芫荽株腐病,Stem rot of coriander,浇水过量,Overwatering,适宜发生条件,ConditionIs
1076,芫荽白粉病,Powdery mildew of coriander,土壤湿度大,High soil moisture,适宜发生条件,ConditionIs
1077,芫荽白粉病,Powdery mildew of coriander,氮肥偏多,Too much nitrogen fertilizer,适宜发生条件,ConditionIs
1078,芫荽白粉病,Powdery mildew of coriander,缺钾,Potassium deficiency,适宜发生条件,ConditionIs
1079,小地老虎,Agrotis ipsilon,旱涝、雨水,"Drought, flood, rain",适宜发生条件,ConditionIs
1080,叶芥菜黑斑病,Alternaria brassicae,相对湿度为72%,Relative humidity: 72%,适宜发生条件,ConditionIs
1081,叶芥菜黑腐病,Xanthomonas campestris pv. campestris,高温,high temperature,适宜发生条件,ConditionIs
1082,叶芥菜黑腐病,Xanthomonas campestris pv. campestris,高湿,High humidity,适宜发生条件,ConditionIs
1083,叶芥菜黑腐病,Xanthomonas campestris pv. campestris,偏施氮肥,Partial nitrogen fertilizer,适宜发生条件,ConditionIs
1084,叶芥菜霜霉病,Peronospora parasitica,高湿多雨,High humidity and heavy rain,适宜发生条件,ConditionIs
1085,番茄早疫病,Alternaria solani,基肥不足,Insufficient basal fertilizer,适宜发生条件,ConditionIs
1086,番茄早疫病,Alternaria solani,灌水多,More water,适宜发生条件,ConditionIs
1087,番茄早疫病,Alternaria solani,低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
1088,番茄晚疫病,Phytophthora infestans,以上，空气湿度,"Above, air humidity",适宜发生条件,ConditionIs
1089,番茄晚疫病,Phytophthora infestans,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1090,番茄晚疫病,Phytophthora infestans,排水不良,Poor drainage,适宜发生条件,ConditionIs
1091,番茄叶霉病,Fulvia fulva,高湿适温,High humidity and suitable temperature,适宜发生条件,ConditionIs
1092,番茄灰叶斑病,Stemphylium solani,湿度适宜,Suitable humidity,适宜发生条件,ConditionIs
1093,番茄芝麻斑病,Corynespora cassiicola,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1094,番茄芝麻斑病,Corynespora cassiicola,多雨高温,Rainy and hot,适宜发生条件,ConditionIs
1095,番茄芝麻斑病,Corynespora cassiicola,田间潮湿,Wet field,适宜发生条件,ConditionIs
1096,番茄芝麻斑病,Corynespora cassiicola,通风透光差,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1097,番茄芝麻斑病,Corynespora cassiicola,施肥不足,Insufficient fertilization,适宜发生条件,ConditionIs
1098,番茄灰霉病,Botrytis cinerea,温暖湿润,Warm and humid,适宜发生条件,ConditionIs
1099,番茄灰霉病,Botrytis cinerea,相对湿度要求95%以上,Relative humidity requirement is above 95%,适宜发生条件,ConditionIs
1100,番茄灰霉病,Botrytis cinerea,氮肥不足,Insufficient nitrogen fertilizer,适宜发生条件,ConditionIs
1101,番茄白绢病,Sclerotium rolfsii,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
1102,番茄绵疫病,Phytophthora parasitica,阴雨连绵,Continuous rain,适宜发生条件,ConditionIs
1103,番茄绵疫病,Phytophthora parasitica,相对湿度在85%,Relative humidity at 85%,适宜发生条件,ConditionIs
1104,番茄绵疫病,Phytophthora parasitica,份高温多,High temperature,适宜发生条件,ConditionIs
1105,番茄绵疫病,Phytophthora parasitica,菜田低洼,Low-lying vegetable fields,适宜发生条件,ConditionIs
1106,番茄绵疫病,Phytophthora parasitica,土质黏重,Heavy soil,适宜发生条件,ConditionIs
1107,番茄绵疫病,Phytophthora parasitica,种植过密,Too dense planting,适宜发生条件,ConditionIs
1108,番茄绵疫病,Phytophthora parasitica,田间通风透光性差,Poor field ventilation and light transmission,适宜发生条件,ConditionIs
1109,番茄镰刀菌果腐病,Fusarium sp.,通风透光不好,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1110,番茄镰刀菌果腐病,Fusarium sp.,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
1111,番茄镰刀菌果腐病,Fusarium sp.,肥力不足,Insufficient fertility,适宜发生条件,ConditionIs
1112,番茄镰刀菌果腐病,Fusarium sp.,耕作粗放,Extensive farming,适宜发生条件,ConditionIs
1113,番茄镰刀菌果腐病,Fusarium sp.,排水不良,Poor drainage,适宜发生条件,ConditionIs
1114,番茄镰刀菌果腐病,Fusarium sp.,土壤潮湿,Moist soil,适宜发生条件,ConditionIs
1115,番茄镰刀菌果腐病,Fusarium sp.,温暖,warmth,适宜发生条件,ConditionIs
1116,番茄镰刀菌果腐病,Fusarium sp.,高湿,High humidity,适宜发生条件,ConditionIs
1117,番茄镰刀菌果腐病,Fusarium sp.,多雨,Rainy,适宜发生条件,ConditionIs
1118,番茄镰刀菌果腐病,Fusarium sp.,日照不足,Insufficient sunlight,适宜发生条件,ConditionIs
1119,番茄红粉病,Trichothecium roseum,湿度过大,Excessive humidity,适宜发生条件,ConditionIs
1120,番茄红粉病,Trichothecium roseum,光照不足,Insufficient light,适宜发生条件,ConditionIs
1121,番茄红粉病,Trichothecium roseum,通风不良,Poor ventilation,适宜发生条件,ConditionIs
1122,番茄猝倒病,Pythium sp.,光照不好,Poor lighting,适宜发生条件,ConditionIs
1123,番茄猝倒病,Pythium sp.,通风不畅,Poor ventilation,适宜发生条件,ConditionIs
1124,番茄立枯病,Rhizoctonia solani,温暖多湿,Warm and humid,适宜发生条件,ConditionIs
1125,番茄立枯病,Rhizoctonia solani,播种过密,Too dense planting,适宜发生条件,ConditionIs
1126,番茄立枯病,Rhizoctonia solani,浇水过多,Overwatering,适宜发生条件,ConditionIs
1127,番茄枯萎病,Fusarium oxysporum f. sp. lycopersici,土壤湿度过低,Soil moisture is too low,适宜发生条件,ConditionIs
1128,番茄茎基腐病,Fusarium solani,土壤湿度大,High soil moisture,适宜发生条件,ConditionIs
1129,番茄茎基腐病,Fusarium solani,通风透光条件差,Poor ventilation and light conditions,适宜发生条件,ConditionIs
1130,番茄菌核病,Sclerotinia sclerotiorum,右，相对湿度在,"Right, relative humidity",适宜发生条件,ConditionIs
1131,番茄菌核病,Sclerotinia sclerotiorum,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1132,番茄菌核病,Sclerotinia sclerotiorum,排水不良,Poor drainage,适宜发生条件,ConditionIs
1133,番茄菌核病,Sclerotinia sclerotiorum,偏施氮肥,Partial nitrogen fertilizer,适宜发生条件,ConditionIs
1134,番茄黄萎病,Verticillium dahliae,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1135,番茄疫霉根腐病,Phytophthora sp.,高温,high temperature,适宜发生条件,ConditionIs
1136,番茄疫霉根腐病,Phytophthora sp.,高湿,High humidity,适宜发生条件,ConditionIs
1137,番茄溃疡病,Clavibacter michiganensis subsp. michiganensis,高温,high temperature,适宜发生条件,ConditionIs
1138,番茄溃疡病,Clavibacter michiganensis subsp. michiganensis,大雾,Heavy fog,适宜发生条件,ConditionIs
1139,番茄溃疡病,Clavibacter michiganensis subsp. michiganensis,多雨,Rainy,适宜发生条件,ConditionIs
1140,番茄溃疡病,Clavibacter michiganensis subsp. michiganensis,地块低洼,Low-lying land,适宜发生条件,ConditionIs
1141,番茄溃疡病,Clavibacter michiganensis subsp. michiganensis,排水通风不良,Poor drainage and ventilation,适宜发生条件,ConditionIs
1142,番茄青枯病,Ralstonia solanacearum,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1143,番茄青枯病,Ralstonia solanacearum,低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
1144,番茄青枯病,Ralstonia solanacearum,控水过重,Excessive water control,适宜发生条件,ConditionIs
1145,番茄青枯病,Ralstonia solanacearum,干湿不均,Uneven wetness and dryness,适宜发生条件,ConditionIs
1146,番茄疮痂病,Xanthomonas campestris pv. vesicatoria,高温,high temperature,适宜发生条件,ConditionIs
1147,番茄疮痂病,Xanthomonas campestris pv. vesicatoria,高湿,High humidity,适宜发生条件,ConditionIs
1148,番茄疮痂病,Xanthomonas campestris pv. vesicatoria,多雨,Rainy,适宜发生条件,ConditionIs
1149,番茄细菌性髓部坏死病,Pseudomonas corrugata,排水不良,Poor drainage,适宜发生条件,ConditionIs
1150,番茄细菌性髓部坏死病,Pseudomonas corrugata,氮肥过量,Excessive nitrogen fertilizer,适宜发生条件,ConditionIs
1151,番茄斑萎病毒病,TSWV (Tomato spotted wilt virus),高温,high temperature,适宜发生条件,ConditionIs
1152,番茄蕨叶病毒病,ToMV (Tomato mosaic virus) ,肥力不足,Insufficient fertility,适宜发生条件,ConditionIs
1153,番茄根结线虫病,Meloidogyne sp.,地势高燥,High and dry terrain,适宜发生条件,ConditionIs
1154,番茄根结线虫病,Meloidogyne sp.,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1155,番茄(匍柄霉)斑点病,Stemphylium sp.,温暖高湿,Warm and humid,适宜发生条件,ConditionIs
1156,番茄丝核菌果腐病,Rhizoctonia sp.,田间高温,High temperature in the field,适宜发生条件,ConditionIs
1157,番茄丝核菌果腐病,Rhizoctonia sp.,高湿,High humidity,适宜发生条件,ConditionIs
1158,番茄筋腐病,Tomato striped rot,低温,Low temperature,适宜发生条件,ConditionIs
1159,番茄筋腐病,Tomato striped rot,多湿,Humidity,适宜发生条件,ConditionIs
1160,番茄筋腐病,Tomato striped rot,二氧化碳不足,Insufficient carbon dioxide,适宜发生条件,ConditionIs
1161,番茄筋腐病,Tomato striped rot,土壤湿度过大,Excessive soil moisture,适宜发生条件,ConditionIs
1162,番茄筋腐病,Tomato striped rot,土壤潮湿,Moist soil,适宜发生条件,ConditionIs
1163,番茄炭疽病,Colletotrichum coccodes,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1164,番茄炭疽病,Colletotrichum coccodes,排水不良,Poor drainage,适宜发生条件,ConditionIs
1165,番茄炭疽病,Colletotrichum coccodes,氮肥过多,Too much nitrogen fertilizer,适宜发生条件,ConditionIs
1166,番茄炭疽病,Colletotrichum coccodes,植株郁蔽,Plant shade,适宜发生条件,ConditionIs
1167,番茄炭疽病,Colletotrichum coccodes,通风不良,Poor ventilation,适宜发生条件,ConditionIs
1168,番茄根霉果腐病,Rhizopus sp.,温暖潮湿,Warm and humid,适宜发生条件,ConditionIs
1169,番茄根霉果腐病,Rhizopus sp.,湿度大,High humidity,适宜发生条件,ConditionIs
1170,番茄茎枯病,Phoma sp.,高湿多雨,High humidity and heavy rain,适宜发生条件,ConditionIs
1171,番茄黑点根腐病,Thielaviopsis basicola,通风透光不好,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1172,番茄黑点根腐病,Thielaviopsis basicola,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
1173,番茄黑点根腐病,Thielaviopsis basicola,肥力不足,Insufficient fertility,适宜发生条件,ConditionIs
1174,番茄黑点根腐病,Thielaviopsis basicola,耕作粗放,Extensive farming,适宜发生条件,ConditionIs
1175,番茄黑点根腐病,Thielaviopsis basicola,排水不良,Poor drainage,适宜发生条件,ConditionIs
1176,番茄黑点根腐病,Thielaviopsis basicola,土壤潮湿,Moist soil,适宜发生条件,ConditionIs
1177,番茄黑点根腐病,Thielaviopsis basicola,温暖,warmth,适宜发生条件,ConditionIs
1178,番茄黑点根腐病,Thielaviopsis basicola,高湿,High humidity,适宜发生条件,ConditionIs
1179,番茄黑点根腐病,Thielaviopsis basicola,多雨,Rainy,适宜发生条件,ConditionIs
1180,番茄黑点根腐病,Thielaviopsis basicola,日照不足,Insufficient sunlight,适宜发生条件,ConditionIs
1181,辣椒绵腐病,Pythium sp.,低温,Low temperature,适宜发生条件,ConditionIs
1182,辣椒绵腐病,Pythium sp.,高湿,High humidity,适宜发生条件,ConditionIs
1183,辣椒绵腐病,Pythium sp.,光照不足,Insufficient light,适宜发生条件,ConditionIs
1184,辣椒绵腐病,Pythium sp.,湿度偏大,Humidity is too high,适宜发生条件,ConditionIs
1185,辣椒褐腐病,Monilinia sp.,低温高湿,Low temperature and high humidity,适宜发生条件,ConditionIs
1186,辣椒褐腐病,Monilinia sp.,日照不足,Insufficient sunlight,适宜发生条件,ConditionIs
1187,辣椒褐腐病,Monilinia sp.,雨后积水,Water after rain,适宜发生条件,ConditionIs
1188,番茄茶色果和绿背果,Tomato dark brown fruit and green back fruit,土壤干燥,Dry soil,适宜发生条件,ConditionIs
1189,番茄网筋果,Vein browning of tomato,地温高,High ground temperature,适宜发生条件,ConditionIs
1190,番茄网筋果,Vein browning of tomato,多肥,How fat,适宜发生条件,ConditionIs
1191,番茄网筋果,Vein browning of tomato,土壤过干,Soil is too dry,适宜发生条件,ConditionIs
1192,番茄网筋果,Vein browning of tomato,土壤粘重,Heavy soil,适宜发生条件,ConditionIs
1193,番茄网筋果,Vein browning of tomato,土壤氮素多,Soil high in nitrogen,适宜发生条件,ConditionIs
1194,辣椒斑枯病,Septoria lycopersici,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1195,辣椒白星病,Phyllosticta sp.,高温,high temperature,适宜发生条件,ConditionIs
1196,辣椒白星病,Phyllosticta sp.,高湿,High humidity,适宜发生条件,ConditionIs
1197,辣椒疫病,Phytophthora capsici,高温,high temperature,适宜发生条件,ConditionIs
1198,辣椒疫病,Phytophthora capsici,高湿,High humidity,适宜发生条件,ConditionIs
1199,辣椒疫病,Phytophthora capsici,种植过密,Too dense planting,适宜发生条件,ConditionIs
1200,辣椒疫病,Phytophthora capsici,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1201,辣椒灰霉病,Botrytis cinerea,低温,Low temperature,适宜发生条件,ConditionIs
1202,辣椒灰霉病,Botrytis cinerea,高湿,High humidity,适宜发生条件,ConditionIs
1203,辣椒炭疽病,Colletotrichum sp.,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1204,辣椒炭疽病,Colletotrichum sp.,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1205,辣椒炭疽病,Colletotrichum sp.,土质黏重,Heavy soil,适宜发生条件,ConditionIs
1206,辣椒炭疽病,Colletotrichum sp.,排水不良,Poor drainage,适宜发生条件,ConditionIs
1207,辣椒炭疽病,Colletotrichum sp.,施肥不足,Insufficient fertilization,适宜发生条件,ConditionIs
1208,辣椒炭疽病,Colletotrichum sp.,氮肥过多,Too much nitrogen fertilizer,适宜发生条件,ConditionIs
1209,辣椒黑斑病,Alternaria sp.,高湿多雨,High humidity and heavy rain,适宜发生条件,ConditionIs
1210,辣椒黄化条斑病毒病,TYLSV (Tomato yellow leaf streak virus),高温,high temperature,适宜发生条件,ConditionIs
1211,辣椒苜蓿花叶病毒病,AMV (Alfalfa mosaic virus),地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1212,辣椒苜蓿花叶病毒病,AMV (Alfalfa mosaic virus),积水,Water accumulation,适宜发生条件,ConditionIs
1213,辣椒苜蓿花叶病毒病,AMV (Alfalfa mosaic virus),土壤粘重,Heavy soil,适宜发生条件,ConditionIs
1214,辣椒苜蓿花叶病毒病,AMV (Alfalfa mosaic virus),管理粗放,Extensive management,适宜发生条件,ConditionIs
1215,辣椒苜蓿花叶病毒病,AMV (Alfalfa mosaic virus),缺水,Lack of water,适宜发生条件,ConditionIs
1216,辣椒苜蓿花叶病毒病,AMV (Alfalfa mosaic virus),干旱,drought,适宜发生条件,ConditionIs
1217,辣椒黑霉病,Aspergillus sp.,温暖潮湿,Warm and humid,适宜发生条件,ConditionIs
1218,辣椒黑霉病,Aspergillus sp.,田间管理粗放,Extensive field management,适宜发生条件,ConditionIs
1219,辣椒叶霉病,Fulvia fulva,浇水过多,Overwatering,适宜发生条件,ConditionIs
1220,辣椒叶霉病,Fulvia fulva,管理粗放,Extensive management,适宜发生条件,ConditionIs
1221,辣椒叶霉病,Fulvia fulva,通风不良,Poor ventilation,适宜发生条件,ConditionIs
1222,辣椒芽枝果腐病,Cladosporium sp.,适宜空气湿度为85%,The suitable air humidity is 85%,适宜发生条件,ConditionIs
1223,芹菜斑枯病,Septoria apiicola,浇水多,Water more,适宜发生条件,ConditionIs
1224,芹菜斑枯病,Septoria apiicola,排水不良,Poor drainage,适宜发生条件,ConditionIs
1225,芹菜斑枯病,Septoria apiicola,田间积水,Waterlogging in the fields,适宜发生条件,ConditionIs
1226,芹菜斑枯病,Septoria apiicola,种植过密,Too dense planting,适宜发生条件,ConditionIs
1227,芹菜斑枯病,Septoria apiicola,土地贫瘠,Barren land,适宜发生条件,ConditionIs
1228,芹菜早疫病,Alternaria sp.,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
1229,芹菜早疫病,Alternaria sp.,高温干旱,High temperature and drought,适宜发生条件,ConditionIs
1230,芹菜早疫病,Alternaria sp.,排水不良,Poor drainage,适宜发生条件,ConditionIs
1231,芹菜早疫病,Alternaria sp.,缺水缺肥,Lack of water and fertilizer,适宜发生条件,ConditionIs
1232,芹菜早疫病,Alternaria sp.,灌水过多,Too much water,适宜发生条件,ConditionIs
1233,芹菜早疫病,Alternaria sp.,通风不良,Poor ventilation,适宜发生条件,ConditionIs
1234,芹菜黑腐病,Xanthomonas campestris pv. carotae,多雨潮湿,Rainy and humid,适宜发生条件,ConditionIs
1235,芹菜菌核病,Sclerotinia sclerotiorum,低温潮湿,Cold and humid,适宜发生条件,ConditionIs
1236,芹菜根结线虫病,Meloidogyne sp.,地势高燥,High and dry terrain,适宜发生条件,ConditionIs
1237,芹菜根结线虫病,Meloidogyne sp.,土质中性沙质,Soil: neutral sandy,适宜发生条件,ConditionIs
1238,芹菜叶斑病,Cercospora sp.,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
1239,芹菜叶斑病,Cercospora sp.,高温干旱,High temperature and drought,适宜发生条件,ConditionIs
1240,芹菜叶斑病,Cercospora sp.,大水漫灌,Flood irrigation,适宜发生条件,ConditionIs
1241,芹菜叶斑病,Cercospora sp.,田间积水,Waterlogging in the fields,适宜发生条件,ConditionIs
1242,芹菜叶斑病,Cercospora sp.,排水不良,Poor drainage,适宜发生条件,ConditionIs
1243,芹菜叶斑病,Cercospora sp.,缺水缺肥,Lack of water and fertilizer,适宜发生条件,ConditionIs
1244,芹菜叶斑病,Cercospora sp.,通风不良,Poor ventilation,适宜发生条件,ConditionIs
1245,野蛞蝓,Agriolimax agrestis,潮湿,Wet,适宜发生条件,ConditionIs
1246,莴笋霜霉病,Peronospora lactucae,土壤潮湿,Moist soil,适宜发生条件,ConditionIs
1247,莴笋霜霉病,Peronospora lactucae,排水不良,Poor drainage,适宜发生条件,ConditionIs
1248,莴笋灰霉病,Botrytis cinerea,相对湿度高于94%,Relative humidity above 94%,适宜发生条件,ConditionIs
